feature_name,feature_type,is_list,contains_nan
All Star Sorting_00,,0,1
All Star Sorting_01,,0,1
All Star Sorting_02,,0,1
All Star Sorting_03,,0,1
All Star Sorting_04,,0,1
All Star Sorting_05,,0,1
All Star Sorting_06,,0,1
All Star Sorting_07,,0,1
All Star Sorting_08,,0,1
All Star Sorting_09,,0,1
Air Show_00,,0,1
Air Show_01,,0,1
Air Show_02,,0,1
Crystals Rule_00,,0,1
Crystals Rule_01,,0,1
Crystals Rule_02,,0,1
Crystals Rule_03,,0,1
Crystals Rule_04,,0,1
Crystals Rule_05,,0,1
Crystals Rule_06,,0,1
Crystals Rule_07,,0,1
Crystals Rule_08,,0,1
Crystals Rule_09,,0,1
Scrub-A-Dub_00,,0,1
Scrub-A-Dub_01,,0,1
Scrub-A-Dub_02,,0,1
Scrub-A-Dub_03,,0,1
Scrub-A-Dub_04,,0,1
Scrub-A-Dub_05,,0,1
Scrub-A-Dub_06,,0,1
Scrub-A-Dub_07,,0,1
Scrub-A-Dub_08,,0,1
Scrub-A-Dub_09,,0,1
Scrub-A-Dub_10,,0,1
Scrub-A-Dub_11,,0,1
Dino Drink_00,,0,1
Dino Drink_01,,0,1
Dino Drink_02,,0,1
Dino Drink_03,,0,1
Dino Drink_04,,0,1
Dino Drink_05,,0,1
Dino Drink_06,,0,1
Dino Drink_07,,0,1
Dino Drink_08,,0,1
Dino Drink_09,,0,1
Bubble Bath_00,,0,1
Bubble Bath_01,,0,1
Bubble Bath_02,,0,1
Dino Dive_00,,0,1
Dino Dive_01,,0,1
Dino Dive_02,,0,1
Dino Dive_03,,0,1
Dino Dive_04,,0,1
Dino Dive_05,,0,1
Dino Dive_06,,0,1
Chow Time_00,,0,1
Chow Time_01,,0,1
Chow Time_02,,0,1
Happy Camel_00,,0,1
Happy Camel_01,,0,1
Happy Camel_02,,0,1
Happy Camel_03,,0,1
Happy Camel_04,,0,1
Happy Camel_05,,0,1
Happy Camel_06,,0,1
Happy Camel_07,,0,1
Happy Camel_08,,0,1
Happy Camel_09,,0,1
Leaf Leader_00,,0,1
Leaf Leader_01,,0,1
Leaf Leader_02,,0,1
Pan Balance_00,,0,1
Pan Balance_01,,0,1
Pan Balance_02,,0,1
Bird Measurer (Assessment)_00,,0,0
Bird Measurer (Assessment)_01,,1,1
Bird Measurer (Assessment)_02,,0,1
Bird Measurer (Assessment)_03,,0,1
Bird Measurer (Assessment)_04,,1,1
Bird Measurer (Assessment)_05,,0,1
Bird Measurer (Assessment)_06,,0,1
Cart Balancer (Assessment)_00,,0,0
Cart Balancer (Assessment)_01,,1,1
Cart Balancer (Assessment)_02,,0,1
Cart Balancer (Assessment)_03,,0,1
Cart Balancer (Assessment)_04,,1,1
Cart Balancer (Assessment)_05,,0,1
Cart Balancer (Assessment)_06,,0,1
Cauldron Filler (Assessment)_00,,0,0
Cauldron Filler (Assessment)_01,,1,1
Cauldron Filler (Assessment)_02,,0,1
Cauldron Filler (Assessment)_03,,0,1
Cauldron Filler (Assessment)_04,,1,1
Cauldron Filler (Assessment)_05,,0,1
Cauldron Filler (Assessment)_06,,0,1
Chest Sorter (Assessment)_00,,0,0
Chest Sorter (Assessment)_01,,1,1
Chest Sorter (Assessment)_02,,0,1
Chest Sorter (Assessment)_03,,0,1
Chest Sorter (Assessment)_04,,1,1
Chest Sorter (Assessment)_05,,0,1
Chest Sorter (Assessment)_06,,0,1
Mushroom Sorter (Assessment)_00,,0,0
Mushroom Sorter (Assessment)_01,,1,1
Mushroom Sorter (Assessment)_02,,0,1
Mushroom Sorter (Assessment)_03,,0,1
Mushroom Sorter (Assessment)_04,,1,1
Mushroom Sorter (Assessment)_05,,0,1
Mushroom Sorter (Assessment)_06,,0,1
Assessment Overall_00,,0,0
Assessment Overall_01,,1,1
Assessment Overall_02,,0,1
Assessment Overall_03,,1,1
Assessment Overall_04,,0,1
Assessment Overall_05,,0,1
